tweet_id,author_id,inbound,created_at,response_tweet_id,in_response_to_tweet_id,Cleaned
119237,105834,True,Wed Oct 11 06:55:44 +0000 2017,119236,,causreplidisregardtapnotifkeyboardopened😡😡😡
119238,ChaseSupport,False,Wed Oct 11 13:25:49 +0000 2017,,119239.0,busimeanlotus.pleadmnamezipcodeadditdetailconcern.^rr
119239,105835,True,Wed Oct 11 13:00:09 +0000 2017,119238,,reallihopechang'msurewon'tn't
119240,VirginTrains,False,Tue Oct 10 15:16:08 +0000 2017,119241,119242.0,livechatonlinmomentcontactoptionleavmessagrequestcallback
119241,105836,True,Tue Oct 10 15:17:21 +0000 2017,119243,119240.0,seeattacherrormessage.'vetrileavvoicemailsevertimepastweek
119243,VirginTrains,False,Tue Oct 10 15:25:14 +0000 2017,119244,119241.0,trianothdevicmiriam^mm
119244,105836,True,Tue Oct 10 15:26:44 +0000 2017,119245,119243.0,yep'vetrilaptopsevertimepastweektoday.'vetridifferbrowser
119245,VirginTrains,False,Tue Oct 10 15:33:22 +0000 2017,,119244.0,'sworkokmiriam.linkhelp^mm
119242,105836,True,Tue Oct 10 15:09:00 +0000 2017,119240,119246.0,stilln'theardampnumber'mdirectphonedeadendamplivechatn'twork.someoncall
119246,VirginTrains,False,Tue Oct 10 10:13:19 +0000 2017,119242,119247.0,'s'remiriamteamsendemailshortli^hp
119248,AppleSupport,False,Wed Oct 11 13:38:29 +0000 2017,,119249.0,help.versioniofindsetgtgenergtabout.replidm
119249,105837,True,Wed Oct 11 07:37:27 +0000 2017,119248,119250.0,sufferhopefindsolut
119250,105838,True,Wed Oct 11 05:33:17 +0000 2017,"119,249,119,251",,hiconcernlatestioslowhappiit.solutplea
119252,AppleSupport,False,Wed Oct 11 13:40:27 +0000 2017,,119253.0,thankreachus.alwayhappihelp.sendudmlooktogeth
119253,105839,True,Wed Oct 11 07:21:34 +0000 2017,119252,,updatphonesuddenlieverythtakeageloadwtfupdatsuxhatefixbye
